X-axis,Y-axis,time(in seconds)
73.91,34.84,1
74.67,32.64,2
74,33.2,3
71.46,27.7,4
69.32,35.42,5
75.06,24,6
74.11,16.64,7
73.37,18.73,8
56.63,26.9,9
73.35,38.83,10
74.15,28.9,11
75.82,17.56,12
74.78,33.21,13
75.43,32.41,14
75.9,25.12,15
79.76,29.49,16
76.47,36.91,17
74.7,19.19,18
78.75,30.53,19
74.6,31.88,20
74.58,29.12,21
74.58,28.47,22
65.73,33.88,23
66.04,30.09,24
66.02,31.5,25
63.31,27.19,26
60.51,26.51,27
66.6,24.27,28
65.12,9.43,29
65.18,16.36,30
48.05,27.68,31
64.46,19.36,32
66.8,27.55,33
70.54,18.28,34
66.75,31.6,35
66.19,30.29,36
67.4,25.54,37
71.79,27.49,38
66.92,16.56,39
67.09,9.5,40
71.07,27.16,41
66.46,29.67,42
67.34,27.82,43
67.91,28.48,44
44.75,26.53,45
44.38,23.42,46
43.39,25.36,47
41.97,19.13,48
40.95,22.46,49
44.63,16.18,50
42.62,9.08,51
39.87,30.49,52
28.24,22.66,53
42.27,32.89,54
44.65,20.43,55
45.12,28.98,56
44.22,25.23,57
44.81,23.31,58
45.24,16.56,59
49.51,20.52,60
43.83,31.83,61
43.36,9.43,62
48.66,19.11,63
43.16,21.98,64
45.46,20.03,65
43.3,18.98,66
11.91,22.64,67
9.67,18.48,68
11.28,27.79,69
11.17,29.14,70
9.76,25.49,71
10.87,20.32,72
10.32,33.65,73
11.13,26.69,74
10.06,26.98,75
9.2,29.84,76
12.21,22.05,77
11.18,20.69,78
10.92,26.84,79
11.56,28.78,80
16.3,24.86,81
12.64,27.01,82
11.76,32.49,83
11.47,22.64,84
15.53,25.36,85
11.49,26.44,86
10.29,25.22,87
11.95,23.47,88
29.51,27.27,89
33.19,22.01,90
33.34,27.69,91
31.36,34.73,92
34.25,35.99,93
33.61,23.61,94
35.07,26.4,95
36.19,10.91,96
34.18,24.54,97
33.8,37.41,98
29.99,27.12,99
35.7,36,100
49.41,18.58,101
34.47,23.45,102
33.95,21.12,103
37.61,12.4,104
47.72,32.57,105
36.52,26.79,106
39.79,39.18,107
34.33,31.12,108
38.8,23.63,109
34.25,27.61,110
36.76,8.03,111
40.93,29.34,112
35.88,25.65,113
28.07,16.68,114
38.89,25.06,115
41.11,18.7,116
37.94,31.14,117
37.06,36.95,118
20.17,29.96,119
30.7,44.67,120
38.68,22.39,121
38.91,30.53,122
37.74,7.32,123
40.89,28.21,124
41.77,20.11,125
43.49,23.41,126
37.73,45.24,127
38.42,36.16,128
42.88,22.73,129
39.36,25.2,130
39.25,24.07,131
39.69,22.23,132
28.01,34.55,133
29.09,29.57,134
30.7,35.05,135
29.51,21.05,136
14.07,27.65,137
27.97,26.84,138
28.82,21.65,139
26.63,8.47,140
26.09,26.7,141
26.65,17.47,142
29.69,25.19,143
29.79,35.1,144
30.09,29.49,145
31.38,22.82,146
33.05,29.2,147
29.89,19.06,148
29.34,23,149
35.28,24.98,150
27.57,8.04,151
29.72,27.52,152
28.57,26.46,153
30.38,25.08,154
18.53,25.16,155
19.08,24.58,156
19.49,26.02,157
19.18,27.6,158
18.54,28.63,159
18.43,23.93,160
